Data Item	Data Type	Description
title_id	String	unique identifier for title
primary_title	String	primary title of feature
original_title	String	original title of feature
start_year	Integer	first year a tv show aired
end_year	Integer	last year a tv show aired
average_rating	Floating Point	average rating of title
genre_id	Integer	unique identifier for genre
genre_name	String	name of genre
type_id	Integer	unique identifier for type
type_name	String	name of type
rating_id	Integer	unique identifier for rating
category	String	specifies the category that a title belongs to (appalling, average, and good)
